insee_com,lib_com,niveau_centralite
02093,Blérancourt,Centre local d'équipements et de services
02094,Blesmes,Communes non centre
02095,Bohain-en-Vermandois,Centre intermédiaire d'équipements et de services
02096,Bois-lès-Pargny,Communes non centre
02097,Boncourt,Communes non centre
02098,Bonneil,Communes non centre
02099,Bonnesvalyn,Communes non centre
02100,Bony,Communes non centre
02101,Bosmont-sur-Serre,Communes non centre
02102,Bouconville-Vauclair,Communes non centre
02103,Boué,Centre local d'équipements et de services
02104,Bouffignereux,Communes non centre
02105,Bouresches,Communes non centre
02106,Bourg-et-Comin,Centre local d'équipements et de services
02107,Bourguignon-sous-Coucy,Communes non centre
02108,Bourguignon-sous-Montbavin,Communes non centre
02109,La Bouteille,Communes non centre
02110,Braine,Centre intermédiaire d'équipements et de services
02111,Brancourt-en-Laonnois,Communes non centre
02112,Brancourt-le-Grand,Communes non centre
02114,Brasles,Centre local d'équipements et de services
02115,Braye-en-Laonnois,Communes non centre
02116,Braye-en-Thiérache,Communes non centre
02117,Bray-Saint-Christophe,Communes non centre
02118,Braye,Communes non centre
02119,Brécy,Communes non centre
02120,Brenelle,Communes non centre
02121,Breny,Communes non centre
02122,Brie,Communes non centre
02123,Brissay-Choigny,Communes non centre
02124,Brissy-Hamégicourt,Communes non centre
02125,Brumetz,Communes non centre
02126,Brunehamel,Centre local d'équipements et de services
02127,Bruyères-sur-Fère,Communes non centre
02128,Bruyères-et-Montbérault,Centre local d'équipements et de services
02129,Bruys,Communes non centre
02130,Bucilly,Communes non centre
02131,Bucy-le-Long,Centre local d'équipements et de services
02132,Bucy-lès-Cerny,Communes non centre
02133,Bucy-lès-Pierrepont,Communes non centre
02134,Buire,Communes non centre
02135,Buironfosse,Centre local d'équipements et de services
02136,Burelles,Communes non centre
02137,Bussiares,Communes non centre
02138,Buzancy,Communes non centre
02139,Caillouël-Crépigny,Communes non centre
02140,Camelin,Communes non centre
02141,La Capelle,Centre intermédiaire d'équipements et de services
02142,Castres,Communes non centre
02143,Le Catelet,Communes non centre
02144,Caulaincourt,Communes non centre
02145,Caumont,Communes non centre
02146,Celles-lès-Condé,Communes non centre
02148,Celles-sur-Aisne,Communes non centre
02149,Cerizy,Communes non centre
02150,Cerny-en-Laonnois,Communes non centre
02151,Cerny-lès-Bucy,Communes non centre
02152,Cerseuil,Communes non centre
02153,Cessières-Suzy,Communes non centre
02154,Chacrise,Communes non centre
02155,Chaillevois,Communes non centre
02156,Chalandry,Communes non centre
02157,Chambry,Centre local d'équipements et de services
02158,Chamouille,Communes non centre
02159,Champs,Communes non centre
02160,Chaourse,Communes non centre
02162,La Chapelle-sur-Chézy,Communes non centre
02163,Charly-sur-Marne,Centre intermédiaire d'équipements et de services
02164,Le Charmel,Communes non centre
02165,Charmes,Centre local d'équipements et de services
02166,Chartèves,Communes non centre
02167,Chassemy,Communes non centre
02168,Château-Thierry,Centre structurant d'équipements et de services
02169,Châtillon-lès-Sons,Communes non centre
02170,Châtillon-sur-Oise,Communes non centre
02171,Chaudardes,Communes non centre
02172,Chaudun,Communes non centre
02173,Chauny,Centre structurant d'équipements et de services
02174,Chavignon,Communes non centre
02175,Chavigny,Communes non centre
02176,Chavonne,Communes non centre
02177,Chérêt,Communes non centre
02178,Chermizy-Ailles,Communes non centre
02179,Chéry-Chartreuve,Communes non centre
02180,Chéry-lès-Pouilly,Communes non centre
02181,Chéry-lès-Rozoy,Communes non centre
02182,Chevennes,Communes non centre
02183,Chevregny,Communes non centre
02184,Chevresis-Monceau,Communes non centre
02185,Chézy-en-Orxois,Communes non centre
02186,Chézy-sur-Marne,Centre local d'équipements et de services
02187,Chierry,Communes non centre
02188,Chigny,Communes non centre
02189,Chivres-en-Laonnois,Communes non centre
02190,Chivres-Val,Communes non centre
02191,Chivy-lès-Étouvelles,Communes non centre
02192,Chouy,Communes non centre
02193,Cierges,Communes non centre
02194,Cilly,Communes non centre
02195,Ciry-Salsogne,Communes non centre
02196,Clacy-et-Thierret,Communes non centre
02197,Clairfontaine,Communes non centre
02198,Clamecy,Communes non centre
02199,Clastres,Communes non centre
02200,Clermont-les-Fermes,Communes non centre
02201,Cœuvres-et-Valsery,Communes non centre
02203,Coincy,Centre local d'équipements et de services
02204,Coingt,Communes non centre
02205,Colligis-Crandelain,Communes non centre
02206,Colonfay,Communes non centre
02207,Commenchon,Communes non centre
02208,Concevreux,Communes non centre
02209,Condé-en-Brie,Centre local d'équipements et de services
02210,Condé-sur-Aisne,Communes non centre
02211,Condé-sur-Suippe,Communes non centre
02212,Condren,Centre local d'équipements et de services
02213,Connigis,Communes non centre
02214,Contescourt,Communes non centre
02215,Corbeny,Centre local d'équipements et de services
02216,Corcy,Communes non centre
02217,Coucy-le-Château-Auffrique,Centre local d'équipements et de services
02218,Coucy-lès-Eppes,Communes non centre
02219,Coucy-la-Ville,Communes non centre
02220,Coulonges-Cohan,Communes non centre
02221,Coupru,Communes non centre
02222,Courbes,Communes non centre
02223,Courboin,Communes non centre
02224,Courcelles-sur-Vesle,Communes non centre
02225,Courchamps,Communes non centre
02226,Courmelles,Centre local d'équipements et de services
02227,Courmont,Communes non centre
02228,Courtemont-Varennes,Communes non centre
02229,Courtrizy-et-Fussigny,Communes non centre
02230,Couvrelles,Communes non centre
02231,Couvron-et-Aumencourt,Communes non centre
02232,Coyolles,Communes non centre
02233,Cramaille,Communes non centre
02234,Craonne,Communes non centre
02235,Craonnelle,Communes non centre
02236,Crécy-au-Mont,Communes non centre
02237,Crécy-sur-Serre,Centre local d'équipements et de services
02238,Crépy,Centre local d'équipements et de services
02239,Crézancy,Centre local d'équipements et de services
02240,Croix-Fonsomme,Communes non centre
02241,La Croix-sur-Ourcq,Communes non centre
02242,Crouttes-sur-Marne,Communes non centre
02243,Crouy,Centre local d'équipements et de services
02244,Crupilly,Communes non centre
02245,Cuffies,Centre local d'équipements et de services
02246,Cugny,Communes non centre
02248,Cuirieux,Communes non centre
02249,Cuiry-Housse,Communes non centre
02250,Cuiry-lès-Chaudardes,Communes non centre
02251,Cuiry-lès-Iviers,Communes non centre
02252,Cuissy-et-Geny,Communes non centre
02253,Cuisy-en-Almont,Communes non centre
02254,Cutry,Communes non centre
02255,Cys-la-Commune,Communes non centre
02256,Dagny-Lambercy,Communes non centre
02257,Dallon,Communes non centre
02258,Dammard,Communes non centre
02259,Dampleux,Communes non centre
02260,Danizy,Communes non centre
02261,Dercy,Communes non centre
02262,Deuillet,Communes non centre
02263,Dhuizel,Communes non centre
02264,Dizy-le-Gros,Centre local d'équipements et de services
02265,Dohis,Communes non centre
02266,Dolignon,Communes non centre
02267,Dommiers,Communes non centre
02268,Domptin,Communes non centre
02269,Dorengt,Communes non centre
02270,Douchy,Communes non centre
02271,Dravegny,Communes non centre
02272,Droizy,Communes non centre
02273,Dury,Communes non centre
02274,Ébouleau,Communes non centre
02275,Effry,Communes non centre
02276,Englancourt,Communes non centre
02277,Épagny,Communes non centre
02278,Éparcy,Communes non centre
